Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test1:E1,,,Test1:M1,,,Test1:I1,,,Test1:E2,,,Test1:M2,,,Test1:I2,,,Test1:E3,,,Test1:M3,,,Test1:I3,,,Test1:E4,,,Test1:M4,,,Test1:I4,,,Test1:E5,,,Test1:M5,,,Test1:I5,,,Test1:E6,,,Test1:M6,,,Test1:I6,,,Test1:M2A,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1940,0,340.461151,383.79895,-41.439972,569.073181,248.622162,-60.075199,681.202637,144.202637,-68.821976,385.004425,406.101013,109.764145,562.40332,247.310043,121.171715,677.321228,145.063095,132.413391,281.013031,299.116791,82.062096,544.859619,29.678644,38.269024,,,,894.53363,-215.223389,-10.880584,770.324768,-159.273178,-80.613968,629.459045,-14.130763,-69.512932,841.198975,-136.750687,133.183472,734.44989,-93.813568,100.013908,696.774109,-52.575634,124.972298,958.581787,-54.494625,15.835266,808.840698,69.999725,2.712741,842.163757,28.850988,-34.754307,478.089935,100.883041,36.339531
1941,0,340.121704,383.382324,-41.327244,569.039246,248.709427,-60.023289,681.044067,144.24057,-68.704651,384.427338,405.886688,109.862808,562.377625,248.07341,121.016258,677.481689,145.463623,132.263092,281.157288,298.108917,82.191261,544.649719,30.286497,38.488064,,,,893.533569,-215.248352,-12.111043,770.427795,-158.987015,-80.593559,629.349426,-14.293875,-69.471237,842.334045,-138.189423,133.408691,734.706848,-93.830376,100.079216,696.717163,-52.041737,125.103996,959.808105,-56.005196,16.703531,808.449158,70.263702,2.671711,842.174683,29.381746,-34.280758,478.256958,101.181351,36.364677
1942,0,339.882019,383.291504,-41.337601,569.291443,248.884583,-60.055386,680.918213,144.286789,-68.723106,383.944092,405.819305,110.065033,562.614258,248.569809,120.940712,677.468506,145.679962,132.374954,281.39975,297.383392,82.299751,543.728516,30.966263,38.801006,,,,892.282654,-215.382309,-13.343109,770.534424,-158.841385,-80.57534,629.35022,-14.539824,-69.528809,843.540955,-139.861771,133.497055,735.014465,-94.264381,100.232277,696.543396,-52.027622,125.113022,961.037781,-57.323074,17.554697,808.305359,70.262146,2.851557,842.370361,29.443283,-33.965019,478.362885,101.609772,36.421616
1943,0,339.504852,383.479889,-40.867958,569.599609,248.986343,-60.005512,680.592224,144.188309,-68.635567,383.617004,405.54187,110.220261,562.552917,248.988052,120.97007,677.415955,145.395538,132.412781,281.706757,296.576508,82.419189,542.944702,31.419836,38.788826,,,,890.99646,-215.599335,-14.529166,770.516296,-158.83226,-80.607132,629.931458,-14.582273,-69.412674,844.353088,-141.732681,133.467026,735.051147,-94.767059,100.405952,695.970276,-52.250832,125.049026,961.858521,-58.382576,18.433134,807.99939,70.05381,3.004995,842.55658,29.376524,-32.992504,478.353699,101.965691,36.512547
1944,0,339.307465,383.189087,-40.894073,569.935181,249.097595,-60.019241,680.450317,144.228683,-68.619308,383.401367,405.264893,110.282761,562.578064,249.520569,120.893883,677.577881,145.417816,132.359863,282.10733,295.807129,82.584541,542.18103,32.067383,38.826668,,,,889.53894,-215.708069,-15.852356,770.582825,-158.79628,-80.602448,629.558289,-15.015696,-69.491066,845.026001,-143.310455,133.538971,735.076111,-95.074326,100.428123,695.412659,-52.04998,124.892357,962.331299,-60.325531,18.883194,807.590027,70.140465,2.988502,842.370239,28.941179,-32.997822,478.511749,102.163429,36.417023
1945,0,339.136536,382.946899,-40.926418,570.149841,249.185959,-60.016624,680.195801,144.202606,-68.489594,382.914368,404.907166,110.543861,562.563782,249.938644,120.880646,677.453796,145.424789,132.403244,282.275665,295.09317,82.542664,541.561218,32.555157,39.021935,,,,888.217224,-215.788071,-17.011978,770.60614,-158.619583,-80.573936,629.452454,-15.379105,-69.503372,845.716064,-144.719284,133.546326,735.223877,-95.658195,100.80497,694.765564,-51.788403,125.015808,962.924622,-61.764629,19.198717,807.151184,70.1633,3.136063,842.280212,29.180647,-32.494724,478.616699,102.374199,36.47551
1946,0,338.912476,382.773956,-40.969776,570.428711,249.2668,-60.103046,680.072205,144.295059,-68.519432,382.545288,404.437744,110.880058,562.670349,250.270401,120.813385,677.43396,145.478241,132.36055,282.592041,294.236786,82.617928,541.115967,32.995842,39.01955,,,,886.498413,-215.768127,-18.279789,770.67926,-158.872818,-80.247368,629.350403,-15.593211,-69.551552,846.39032,-145.849121,133.422104,735.438232,-96.194992,101.143234,694.118286,-51.454491,125.175804,963.879639,-62.66135,19.758158,806.767822,70.142441,3.268992,841.0578,28.242693,-33.368401,478.824371,102.57412,36.452152
1947,0,338.725098,382.495972,-41.054718,570.63678,249.391815,-60.057816,679.919556,144.342651,-68.411606,382.006317,404.07724,110.954903,562.72998,250.584061,120.836143,677.295654,145.524033,132.366959,282.906555,293.292389,82.544678,540.312317,33.530937,39.088169,,,,885.015686,-215.7285,-19.496199,770.628906,-158.704651,-80.177887,629.239685,-15.792776,-69.525101,846.887085,-147.229294,133.327301,735.719788,-96.574539,101.474632,693.554871,-50.976025,125.236717,964.201904,-64.360703,19.997465,806.269531,70.40831,3.263401,840.986267,28.267733,-33.043858,478.807343,102.852905,36.390846
1948,0,338.640656,382.096924,-41.122738,570.845947,249.529266,-60.222755,679.915894,144.452377,-68.519188,382.162384,403.417847,111.193336,562.597473,251.159912,120.588852,677.066223,146.074539,132.441864,283.337128,292.604034,82.765778,539.759338,34.154896,39.141346,,,,883.482849,-215.662125,-20.737118,770.598328,-158.578262,-80.170273,629.212708,-15.988244,-69.591248,847.516785,-148.680267,133.211349,736.116089,-96.9189,101.747192,693.192444,-50.508404,125.249596,965.015442,-65.15799,20.216269,805.811401,70.69136,3.186862,841.095764,28.217796,-32.725407,479.046661,102.95031,36.267181
1949,0,338.184998,381.35437,-40.863605,570.906738,249.499924,-60.190186,679.818115,144.402756,-68.397034,383.057404,402.985901,110.794563,562.542908,251.473938,120.363876,676.671387,146.597031,132.601273,283.764984,291.858063,83.082214,538.963562,34.86142,38.970192,,,,882.218689,-215.905472,-21.77915,770.332397,-158.259674,-80.127403,629.089233,-16.333166,-69.563904,848.199585,-150.303741,133.015106,736.320557,-97.159492,101.97287,692.647705,-50.249794,125.433372,965.637329,-66.483482,20.412395,805.298035,70.948463,3.25238,841.250061,28.08392,-32.296558,479.270874,102.962029,36.321606
